gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d8l2, d9l2, d10l2, d11l2, d12l2, d13l2, d14l2, d15l2, d16l2, d17l2, d18l2, d19l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d8l3, d9l3, d10l3, d11l3, d12l3, d13l3, d14l3, d15l3, d16l3, d17l3, d18l3, d19l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d8l4, d9l4, d10l4, d11l4, d12l4, d13l4, d14l4, d15l4, d16l4, d17l4, d18l4, d19l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d8l5, d9l5, d10l5, d11l5, d12l5, d13l5, d14l5, d15l5, d16l5, d17l5, d18l5, d19l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d8l6, d9l6, d10l6, d11l6, d12l6, d13l6, d14l6, d15l6, d16l6, d17l6, d18l6, d19l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d8l7, d9l7, d10l7, d11l7, d12l7, d13l7, d14l7, d15l7, d16l7, d17l7, d18l7, d19l7, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
2, 1,1,1,1,1,1,1,1,0.99,0.81,0.08,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.81,0.08,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.8,0.08,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.8,0.08,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.78,0.08,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.79,0.08,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.81,0.08,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.8,0.08,0,0,0,0,0,0,0,0,0,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,
52, 1,1,1,1,0.95,0.84,0.77,0.62,0.38,0.38,0.29,0.03,0,0,0,0,0,0,0,0,1,1,1,1,1,0.95,0.8,0.76,0.61,0.4,0.08,0.08,0.08,0.01,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.93,0.7,0.37,0.16,0.03,0,0,0,0,0,0,0,1,1,1,1,1,0.99,0.99,0.81,0.73,0.3,0.21,0.06,0.01,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9,0.81,0.63,0.29,0.26,0.09,0.09,0.07,0.01,0,0,0,0,0,1,1,1,1,1,1,1,0.89,0.84,0.58,0.43,0.19,0.07,0.02,0.01,0,0,0,0,0,1,1,1,1,1,0.99,1,0.96,0.74,0.21,0.23,0.06,0.08,0.01,0,0,0,0,0,0,1,1,1,1,1,1,1,0.93,0.91,0.59,0.24,0.37,0.05,0,0,0,0,0,0,0,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,0.951229,
102, 0.99,0.99,0.98,1,0.94,0.8,0.63,0.67,0.49,0.22,0.27,0.18,0.06,0,0,0,0,0,0,0,1,1,0.99,0.97,0.94,0.78,0.57,0.35,0.51,0.26,0.11,0.12,0.04,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.99,0.88,0.87,0.54,0.18,0.15,0.15,0.03,0.02,0.06,0,0,0,1,1,1,1,1,1,1,0.93,0.8,0.37,0.13,0.06,0,0,0,0,0,0,0,0,0.98,0.97,0.98,0.95,0.99,0.89,0.92,0.7,0.61,0.44,0.27,0.09,0.08,0.03,0.12,0.01,0.08,0.01,0.01,0,1,1,1,1,0.98,0.88,0.88,0.77,0.52,0.67,0.4,0.29,0.02,0.02,0,0,0,0,0,0,1,1,0.99,0.97,0.9,0.96,0.87,0.76,0.58,0.33,0.16,0.03,0,0,0.11,0,0,0,0,0,1,1,1,1,0.96,0.94,0.77,0.73,0.67,0.75,0.49,0.21,0.04,0.08,0.13,0.05,0,0,0,0,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,0.951756,
152, 1,1,0.98,0.96,0.78,0.76,0.63,0.43,0.08,0.09,0.1,0.03,0.07,0,0,0,0,0,0,0,1,0.98,0.9,0.91,0.84,0.51,0.55,0.4,0.1,0.16,0.08,0.02,0,0,0,0,0,0,0,0,1,1,1,1,1,0.99,0.95,0.95,0.94,0.71,0.56,0.49,0.13,0.09,0.01,0,0,0,0,0,1,1,1,0.99,0.88,0.71,0.83,0.81,0.57,0.35,0.12,0.28,0.1,0.04,0.09,0,0,0,0,0,1,1,1,1,0.86,0.79,0.57,0.86,0.79,0.53,0.36,0.21,0.03,0.1,0.03,0.04,0.01,0.01,0,0,0.98,0.96,0.98,0.87,0.79,0.53,0.63,0.7,0.48,0.39,0.13,0.06,0.01,0.01,0.06,0,0,0,0,0,1,0.98,0.94,0.85,1,0.73,0.71,0.48,0.46,0.15,0.25,0.15,0.24,0.05,0.01,0,0,0,0,0,1,0.96,0.99,0.9,0.93,0.98,0.79,0.83,0.84,0.48,0.47,0.11,0.11,0.01,0,0,0,0,0,0,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,0.951075,
202, 0.99,1,0.94,0.82,0.67,0.45,0.49,0.41,0.05,0,0.06,0.07,0.08,0.01,0,0,0,0,0,0,0.93,0.96,0.66,0.6,0.54,0.49,0.2,0.15,0.11,0.04,0.02,0.08,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.94,0.81,0.79,0.73,0.42,0.23,0.16,0.03,0.03,0.02,0,0,0,0,1,1,1,1,0.97,0.98,0.96,0.86,0.71,0.48,0.33,0.12,0.01,0,0,0,0,0,0,0,1,1,1,0.9,0.87,0.85,0.55,0.48,0.33,0.43,0.42,0.24,0.05,0,0.05,0,0,0,0,0,1,1,0.98,0.7,0.72,0.79,0.83,0.45,0.47,0.19,0.29,0.28,0.07,0.02,0,0,0,0,0,0,0.97,0.83,0.91,0.74,0.57,0.35,0.56,0.37,0.19,0.28,0.01,0.01,0.14,0.2,0.05,0,0,0,0,0,1,1,1,0.95,0.92,0.84,0.61,0.72,0.41,0.34,0.01,0.03,0.02,0.02,0,0,0,0,0,0,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,0.950923,
252, 0.57,0.61,0.77,0.59,0.59,0.31,0.25,0.24,0.11,0.09,0.01,0,0,0,0,0,0,0,0,0,0.78,0.71,0.77,0.65,0.47,0.28,0.3,0.23,0.12,0.04,0.01,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.98,0.97,0.81,0.6,0.57,0.29,0.21,0.11,0.1,0.12,0.17,0.09,0.06,0,0,1,1,1,0.99,0.97,0.96,0.75,0.83,0.55,0.7,0.48,0.15,0,0,0,0,0,0,0,0,0.89,0.83,0.57,0.55,0.5,0.76,0.65,0.62,0.57,0.59,0.26,0.46,0.13,0.15,0.02,0,0,0,0,0,0.89,0.93,0.8,0.72,0.66,0.58,0.41,0.28,0.07,0.09,0.24,0.06,0,0,0,0,0,0,0,0,0.84,0.78,0.81,0.72,0.5,0.49,0.27,0.31,0.21,0.11,0.01,0.04,0.01,0,0,0,0,0,0,0,1,1,0.99,0.96,0.92,0.62,0.48,0.38,0.22,0.19,0.1,0.01,0,0,0,0,0,0,0,0,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,0.948368,
302, 0.2,0.09,0.32,0.38,0.26,0.1,0.02,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.22,0.32,0.42,0.33,0.07,0.09,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,1,1,0.98,0.86,0.71,0.56,0.53,0.63,0.28,0.24,0.23,0.15,0.12,0.02,0.03,0.1,0,0,0,0,1,1,1,1,1,0.95,0.92,0.81,0.53,0.66,0.45,0.34,0.09,0.05,0.01,0,0,0,0,0,0.84,0.87,0.76,0.8,0.73,0.76,0.62,0.43,0.44,0.62,0.46,0.39,0.16,0.04,0.03,0,0,0,0,0,0.84,0.76,0.89,0.81,0.89,0.86,0.63,0.68,0.32,0.21,0.28,0.21,0.19,0.04,0,0.03,0.01,0,0,0,0.77,0.79,0.77,0.66,0.46,0.36,0.3,0.26,0.31,0.22,0.18,0.23,0.1,0,0.02,0,0,0,0,0,1,1,0.87,0.77,0.74,0.48,0.41,0.42,0.38,0.2,0.01,0.05,0.01,0,0,0,0,0,0,0,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,0.961923,
352, 0.01,0.05,0.06,0.21,0.06,0,0.03,0.11,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0.29,0.2,0.47,0.22,0.4,0.07,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.97,1,0.95,0.92,0.68,0.35,0.27,0.17,0.11,0.16,0.01,0.03,0.08,0,0,0,0,1,1,1,1,1,1,1,0.82,0.72,0.52,0.36,0.19,0.13,0.05,0.08,0.01,0,0,0,0,0.55,0.79,0.82,0.94,0.78,0.77,0.67,0.71,0.45,0.5,0.47,0.6,0.24,0.16,0.12,0,0,0.04,0,0,1,1,1,0.98,0.98,0.75,0.68,0.69,0.25,0.2,0.15,0.1,0.21,0.06,0.01,0,0,0,0,0,0.61,0.65,0.72,0.3,0.48,0.49,0.47,0.4,0.46,0.14,0.13,0.14,0.13,0.01,0.02,0.01,0,0,0,0,0.96,0.84,0.91,0.78,0.66,0.69,0.66,0.52,0.21,0.16,0.05,0.02,0,0,0,0,0,0,0,0,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,0.958055,
402, 0,0.02,0.06,0.16,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.09,0.04,0.08,0,0.05,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,1,1,1,0.94,0.87,0.75,0.77,0.74,0.51,0.14,0.08,0,0.05,0.07,0.13,0.07,0.01,0,0,0,1,1,1,1,0.99,0.95,0.88,0.69,0.53,0.4,0.47,0.21,0.3,0.16,0.03,0.03,0.01,0,0,0,0.62,0.86,0.76,0.77,0.92,0.86,0.86,0.63,0.58,0.42,0.24,0.22,0.07,0.15,0.01,0.07,0.04,0,0,0,1,1,1,0.97,0.92,0.71,0.6,0.53,0.27,0.22,0.16,0.03,0,0,0,0,0,0,0,0,0.43,0.51,0.61,0.39,0.7,0.6,0.53,0.38,0.33,0.3,0.32,0.15,0.19,0.3,0.11,0.19,0.26,0.21,0.06,0.01,0.84,0.91,0.83,0.93,0.91,0.82,0.76,0.52,0.34,0.1,0.25,0.19,0.07,0,0,0,0,0,0,0,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,0.971817,
452, 0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.05,0.04,0.08,0.13,0.11,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.96,0.99,0.87,0.71,0.55,0.43,0.13,0.07,0.06,0,0,0,0,0,0,1,1,1,1,1,0.92,0.82,0.84,0.68,0.57,0.43,0.17,0.02,0.03,0.02,0.02,0,0,0,0,1,1,1,1,0.97,0.95,0.9,0.69,0.6,0.38,0.12,0.07,0.01,0,0,0,0,0,0,0,1,1,1,0.99,0.96,0.93,0.74,0.54,0.49,0.46,0.14,0.21,0.23,0.29,0.09,0.03,0,0,0,0,0.64,0.64,0.59,0.57,0.54,0.4,0.54,0.55,0.5,0.56,0.4,0.26,0.18,0.34,0.13,0.31,0.12,0.05,0.07,0,0.75,0.68,0.72,0.71,0.54,0.53,0.7,0.28,0.29,0.32,0.24,0.26,0.24,0.06,0.01,0,0,0,0,0,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,0.981256,
