gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.95,0.861,0.591,0.501,0.377,0.296,0.023,0.015,0.028,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947,0.822,0.623,0.609,0.503,0.218,0.094,0.011,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983,0.924,0.727,0.643,0.457,0.331,0.335,0.265,0.147,0.108,0.036,0.074,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.941,0.898,0.781,0.624,0.555,0.286,0.123,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.91,0.91,0.94,0.956,0.848,0.668,0.448,0.245,0.087,0.21,0.096,0.036,0.049,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.845,0.935,0.876,0.753,0.671,0.725,0.558,0.455,0.457,0.055,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2002, 1,1,1,1,1,1,1,1,1,1,1,1,0.978,0.969,0.852,0.77,0.838,0.826,0.692,0.625,0.765,0.765,0.601,0.325,0.276,0.08,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.993,0.964,0.886,0.606,0.471,0.647,0.548,0.381,0.207,0.321,0.165,0.046,0.02,0.009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2502, 1,1,1,1,1,1,1,1,1,0.972,0.944,0.928,0.998,0.992,0.969,0.827,0.72,0.549,0.534,0.369,0.348,0.224,0.082,0.279,0.273,0.277,0.271,0.241,0.075,0.015,0.004,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.979,0.814,0.904,0.833,0.727,0.748,0.545,0.315,0.29,0.389,0.222,0.03,0.013,0.003,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3002, 1,1,1,1,1,1,1,1,1,1,1,0.99,0.906,0.779,0.667,0.728,0.696,0.545,0.548,0.506,0.475,0.416,0.428,0.271,0.156,0.287,0.044,0.185,0.137,0.116,0.01,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.999,0.994,1,0.992,0.984,0.878,0.776,0.808,0.669,0.19,0.221,0.178,0.077,0.286,0.096,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3502, 1,1,1,1,1,1,1,0.998,0.959,0.885,0.681,0.683,0.578,0.535,0.541,0.542,0.678,0.754,0.691,0.481,0.586,0.218,0.336,0.278,0.188,0.251,0.297,0.244,0.23,0.098,0.104,0.127,0.008,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.972,0.938,0.909,0.643,0.745,0.585,0.501,0.635,0.238,0.475,0.501,0.366,0.185,0.104,0.015,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4002, 1,1,1,1,1,0.999,0.98,0.873,0.823,0.607,0.683,0.746,0.773,0.775,0.731,0.808,0.854,0.834,0.687,0.48,0.31,0.289,0.325,0.301,0.321,0.306,0.167,0.121,0.21,0.081,0.031,0.019,0.048,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.982,0.891,0.95,0.935,0.95,0.924,0.731,0.743,0.698,0.42,0.35,0.346,0.372,0.581,0.27,0.097,0.045,0.156,0.295,0.285,0.228,0.034,0.001,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4502, 1,1,1,1,1,1,0.989,0.943,0.685,0.603,0.548,0.74,0.797,0.812,0.728,0.711,0.688,0.653,0.666,0.476,0.434,0.386,0.369,0.104,0.063,0.11,0.124,0.197,0.259,0.167,0.021,0.031,0.021,0.004,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.998,0.949,0.821,0.714,0.722,0.75,0.574,0.587,0.326,0.348,0.28,0.11,0.245,0.119,0.187,0.139,0.283,0.187,0.053,0.114,0.023,0.007,0.037,0.009,0.001,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
