gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W0.9999, d0W0.890687, d0W0.996953, d0W0.9999, d0W0.996953, d0W0.999988, d1W0.9999, d1W0.890687, d1W0.996953, d1W0.9999, d1W0.996953, d1W0.999988, d2W0.9999, d2W0.890687, d2W0.996953, d2W0.9999, d2W0.996953, d2W0.999988, d3W0.9999, d3W0.890687, d3W0.996953, d3W0.9999, d3W0.996953, d3W0.999988, d4W0.9999, d4W0.890687, d4W0.996953, d4W0.9999, d4W0.996953, d4W0.999988, d5W0.9999, d5W0.890687, d5W0.996953, d5W0.9999, d5W0.996953, d5W0.999988, d6W0.9999, d6W0.890687, d6W0.996953, d6W0.9999, d6W0.996953, d6W0.999988, d7W0.9999, d7W0.890687, d7W0.996953, d7W0.9999, d7W0.996953, d7W0.999988, d8W0.9999, d8W0.890687, d8W0.996953, d8W0.9999, d8W0.996953, d8W0.999988, d9W0.9999, d9W0.890687, d9W0.996953, d9W0.9999, d9W0.996953, d9W0.999988, d10W0.9999, d10W0.890687, d10W0.996953, d10W0.9999, d10W0.996953, d10W0.999988, d11W0.9999, d11W0.890687, d11W0.996953, d11W0.9999, d11W0.996953, d11W0.999988, d12W0.9999, d12W0.890687, d12W0.996953, d12W0.9999, d12W0.996953, d12W0.999988, d13W0.9999, d13W0.890687, d13W0.996953, d13W0.9999, d13W0.996953, d13W0.999988, d14W0.9999, d14W0.890687, d14W0.996953, d14W0.9999, d14W0.996953, d14W0.999988, d15W0.9999, d15W0.890687, d15W0.996953, d15W0.9999, d15W0.996953, d15W0.999988, d16W0.9999, d16W0.890687, d16W0.996953, d16W0.9999, d16W0.996953, d16W0.999988, d17W0.9999, d17W0.890687, d17W0.996953, d17W0.9999, d17W0.996953, d17W0.999988, d18W0.9999, d18W0.890687, d18W0.996953, d18W0.9999, d18W0.996953, d18W0.999988, d19W0.9999, d19W0.890687, d19W0.996953, d19W0.9999, d19W0.996953, d19W0.999988, d20W0.9999, d20W0.890687, d20W0.996953, d20W0.9999, d20W0.996953, d20W0.999988, d21W0.9999, d21W0.890687, d21W0.996953, d21W0.9999, d21W0.996953, d21W0.999988, d22W0.9999, d22W0.890687, d22W0.996953, d22W0.9999, d22W0.996953, d22W0.999988, d23W0.9999, d23W0.890687, d23W0.996953, d23W0.9999, d23W0.996953, d23W0.999988, d24W0.9999, d24W0.890687, d24W0.996953, d24W0.9999, d24W0.996953, d24W0.999988, d25W0.9999, d25W0.890687, d25W0.996953, d25W0.9999, d25W0.996953, d25W0.999988, d26W0.9999, d26W0.890687, d26W0.996953, d26W0.9999, d26W0.996953, d26W0.999988, d27W0.9999, d27W0.890687, d27W0.996953, d27W0.9999, d27W0.996953, d27W0.999988, d28W0.9999, d28W0.890687, d28W0.996953, d28W0.9999, d28W0.996953, d28W0.999988, d29W0.9999, d29W0.890687, d29W0.996953, d29W0.9999, d29W0.996953, d29W0.999988, d30W0.9999, d30W0.890687, d30W0.996953, d30W0.9999, d30W0.996953, d30W0.999988, d31W0.9999, d31W0.890687, d31W0.996953, d31W0.9999, d31W0.996953, d31W0.999988, d32W0.9999, d32W0.890687, d32W0.996953, d32W0.9999, d32W0.996953, d32W0.999988, d33W0.9999, d33W0.890687, d33W0.996953, d33W0.9999, d33W0.996953, d33W0.999988, d34W0.9999, d34W0.890687, d34W0.996953, d34W0.9999, d34W0.996953, d34W0.999988, d35W0.9999, d35W0.890687, d35W0.996953, d35W0.9999, d35W0.996953, d35W0.999988, d36W0.9999, d36W0.890687, d36W0.996953, d36W0.9999, d36W0.996953, d36W0.999988, d37W0.9999, d37W0.890687, d37W0.996953, d37W0.9999, d37W0.996953, d37W0.999988, d38W0.9999, d38W0.890687, d38W0.996953, d38W0.9999, d38W0.996953, d38W0.999988, d39W0.9999, d39W0.890687, d39W0.996953, d39W0.9999, d39W0.996953, d39W0.999988, 
6, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.977,0.031,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.976,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,479,0,9,479,9,12,465,1,32,465,32,2,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
506, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992,1,0.953,0.732,0.301,0.021,0.04,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.975,0.764,0.411,0.152,0.01,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,489,0,11,489,11,0,498,0,2,498,2,0,426,2,70,426,70,2,149,47,223,149,223,81,104,53,236,104,236,107,322,16,151,322,151,11,450,2,47,450,47,1,462,0,38,462,38,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
1006, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.992,0.972,0.985,0.934,0.765,0.231,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983,0.885,0.745,0.151,0.044,0.012,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,498,0,2,498,2,0,496,0,4,496,4,0,466,0,34,466,34,0,474,2,24,474,24,0,341,6,144,341,144,9,163,29,239,163,239,69,219,22,213,219,213,46,433,1,65,433,65,1,486,0,14,486,14,0,498,0,2,498,2,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
1506, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.788,0.382,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.951,0.796,0.322,0.049,0.019,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,394,3,100,394,100,3,187,32,229,187,229,52,101,48,242,101,242,109,407,1,88,407,88,4,480,0,20,480,20,0,494,0,6,494,6,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
2006, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992,0.738,0.327,0.144,0.071,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947,0.63,0.275,0.143,0.034,0.011,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,445,0,51,445,51,4,117,51,232,117,232,100,126,42,256,126,256,76,287,15,174,287,174,24,377,0,114,377,114,9,490,0,10,490,10,0,495,0,5,495,5,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
2506, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992,0.964,0.755,0.283,0.071,0.001,0.019,0.05,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.991,0.934,0.76,0.353,0.082,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,497,0,3,497,3,0,482,0,18,482,18,0,396,1,99,396,99,4,186,18,211,186,211,85,113,46,249,113,249,92,342,5,136,342,136,17,477,0,23,477,23,0,480,0,20,480,20,0,444,4,52,444,52,0,495,0,5,495,5,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
3006, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.976,0.974,0.994,0.849,0.311,0.139,0.048,0.037,0.006,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.913,0.784,0.304,0.164,0.074,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,484,0,16,484,16,0,461,0,39,461,39,0,410,4,86,410,86,0,218,24,214,218,214,44,130,36,235,130,235,99,260,18,194,260,194,28,391,4,102,391,102,3,463,0,37,463,37,0,494,0,6,494,6,0,499,0,1,499,1,0,498,0,2,498,2,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
3506, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.995,0.975,0.754,0.191,0.11,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.946,0.68,0.202,0.041,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,492,0,7,492,7,1,437,1,61,437,61,1,149,33,238,149,238,80,225,23,199,225,199,53,368,5,124,368,124,3,483,0,17,483,17,0,491,0,9,491,9,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
4006, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.943,0.986,0.812,0.169,0.008,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.995,0.997,0.947,0.758,0.205,0.092,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,498,0,2,498,2,0,434,3,63,434,63,0,439,1,57,439,57,3,199,28,212,199,212,61,214,17,218,214,218,51,394,3,100,394,100,3,493,0,7,493,7,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
4506, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.981,0.947,0.833,0.52,0.176,0.019,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.977,0.791,0.618,0.163,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,485,0,15,485,15,0,427,2,70,427,70,1,218,28,210,218,210,44,67,58,253,67,253,122,236,19,204,236,204,41,459,0,36,459,36,5,493,0,7,493,7,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
