round: 0, last: 0, nbSign0, equi: 0, accGen: 0
round: 1, last: 0, nbSign8, equi: 0, accGen: 2000
round: 2, last: 1, nbSign16, equi: 0, accGen: 4000
round: 3, last: 1, nbSign25, equi: 0, accGen: 6000
round: 4, last: 1, nbSign32, equi: 0, accGen: 8000
2000 generations ont pris499secondes
round: 0, last: 0, nbSign0, equi: 0, accGen: 0
round: 1, last: 1, nbSign7, equi: 0, accGen: 2000
round: 2, last: 1, nbSign14, equi: 0, accGen: 4000
round: 3, last: 1, nbSign21, equi: 0, accGen: 6000
round: 4, last: 1, nbSign28, equi: 0, accGen: 8000
2000 generations ont pris502secondes
round: 0, last: 0, nbSign0, equi: 0, accGen: 0
round: 1, last: 0, nbSign8, equi: 0, accGen: 2000
round: 2, last: 1, nbSign17, equi: 0, accGen: 4000
round: 3, last: 1, nbSign25, equi: 0, accGen: 6000
round: 4, last: 1, nbSign32, equi: 0, accGen: 8000
round: 5, last: 1, nbSign38, equi: 0, accGen: 10000
round: 6, last: 1, nbSign45, equi: 0, accGen: 12000
round: 7, last: 1, nbSign52, equi: 0, accGen: 14000
round: 8, last: 1, nbSign61, equi: 0, accGen: 16000
round: 9, last: 1, nbSign70, equi: 0, accGen: 18000
round: 10, last: 1, nbSign78, equi: 0, accGen: 20000
round: 11, last: 1, nbSign87, equi: 0, accGen: 22000
round: 12, last: 1, nbSign93, equi: 0, accGen: 24000
round: 13, last: 1, nbSign99, equi: 0, accGen: 26000
2000 generations ont pris1408secondes
round: 0, last: 0, nbSign0, equi: 0, accGen: 0
round: 1, last: 1, nbSign7, equi: 0, accGen: 2000
round: 2, last: 1, nbSign13, equi: 0, accGen: 4000
round: 3, last: 1, nbSign20, equi: 0, accGen: 6000
round: 4, last: 1, nbSign28, equi: 0, accGen: 8000
round: 5, last: 1, nbSign35, equi: 0, accGen: 10000
round: 6, last: 1, nbSign43, equi: 0, accGen: 12000
round: 7, last: 1, nbSign51, equi: 0, accGen: 14000
round: 8, last: 1, nbSign59, equi: 0, accGen: 16000
round: 9, last: 1, nbSign64, equi: 0, accGen: 18000
round: 10, last: 1, nbSign72, equi: 0, accGen: 20000
round: 11, last: 1, nbSign80, equi: 0, accGen: 22000
round: 12, last: 1, nbSign86, equi: 0, accGen: 24000
round: 13, last: 1, nbSign92, equi: 0, accGen: 26000
round: 14, last: 1, nbSign98, equi: 0, accGen: 28000
2000 generations ont pris1501secondes
