dimension	locus	mutational effect
0	0	0.0775023
0	1	-0.0775023
2	0	-0.0124496
2	1	0.0124496
4	0	-0.00949313
4	1	0.00949313
6	0	0.0388336
6	1	-0.0388336
8	0	0.00822814
8	1	-0.00822814
2000 generations ont pris 344 secondes
dimension	locus	mutational effect
0	0	-0.0298396
0	1	0.0298396
2	0	-0.00288437
2	1	0.00288437
4	0	0.0716295
4	1	-0.0716295
6	0	-0.00922165
6	1	0.00922165
8	0	0.00160415
8	1	-0.00160415
2000 generations ont pris 347 secondes
dimension	locus	mutational effect
0	0	0.00641975
0	1	-0.00641975
2	0	0.0138996
2	1	-0.0138996
4	0	0.00101622
4	1	-0.00101622
6	0	-0.0244467
6	1	0.0244467
8	0	0.104812
8	1	-0.104812
2000 generations ont pris 1249 secondes
