position, mut_time, fix_time, mut_effect0, mut_effect1, mut_effect2, mut_effect3, mut_effect4, dom
147, 37, 52, 0.0788476, -0.481353, -1.06661, 0.0838952, 1.33523, 0.5
509, 196, 217, -0.729151, 0.249026, 0.167114, 1.31487, -1.00498, 0.5
536, 211, 277, -0.117419, -1.03661, 0.589893, -0.00540372, 0.739474, 0.5
783, 387, 421, -0.152169, -1.97335, 2.01207, 0.706645, -0.649839, 0.5
903, 447, 495, -0.250982, -0.36345, -1.00232, 1.4113, 0.372047, 0.5
1045, 501, 520, 0.996763, -0.0855863, 1.08757, -0.513411, -1.52565, 0.5
1057, 501, 526, 0.194832, -0.18606, 0.43035, -0.238153, 0.278172, 0.5
1142, 520, 533, -1.38169, 1.25452, -0.231614, 0.0697786, 0.422155, 0.5
1310, 587, 619, 0.363122, -1.23005, 1.43182, 0.283118, -0.962019, 0.5
1648, 739, 765, 1.3497, 0.0697692, -0.0506546, 0.0926048, -1.97653, 0.5
1815, 787, 794, 0.316315, -0.575556, 0.567716, 0.669458, -0.677214, 0.5
1901, 853, 871, -0.0377763, 0.471337, -0.778838, -0.00777592, 0.425116, 0.5
1908, 853, 902, 0.817009, -0.178897, -1.93427, 1.00808, 0.326816, 0.5
2160, 958, 978, -0.00497427, 0.313006, 0.956979, -0.723175, -0.532619, 0.5
2509, 1125, 1189, 0.978714, -0.506342, -0.0161433, -0.0402251, -0.417096, 0.5
2597, 1144, 1158, 0.895442, -0.352773, -1.80776, 1.73643, -0.500831, 0.5
2601, 1145, 1187, -1.93258, 1.49565, 0.157577, -0.274659, 0.923993, 0.5
2608, 1145, 1203, -0.3521, 1.98011, -1.44338, 0.359619, -1.00517, 0.5
2633, 1146, 1213, 0.18768, 0.481463, 0.519988, -1.50875, 0.502585, 0.5
2657, 1175, 1200, 0.74753, -0.584097, -0.627285, 0.915442, -0.0876957, 0.5
2844, 1294, 1318, -0.333136, 0.98755, -0.973355, 0.0389248, 0.160211, 0.5
2959, 1325, 1334, 0.576286, -0.523408, -1.33543, -0.129501, 1.6058, 0.5
3312, 1489, 1522, -0.217432, -1.83407, 0.670532, 0.924915, 0.352437, 0.5
3731, 1693, 1727, 0.756119, -1.33961, 0.27825, -0.540091, 0.220117, 0.5
3827, 1745, 1763, 0.354844, -0.694748, 0.232191, -0.0669356, -0.0321521, 0.5
4429, 2059, 2064, 0.00956627, 0.395542, -0.764228, 0.0777411, 0.447867, 0.5
4581, 2123, 2130, -1.16597, 0.59108, 0.0966701, -1.25203, 1.59523, 0.5
4680, 2131, 2145, -1.47796, -0.936819, 2.50709, 1.16087, -1.16044, 0.5
4971, 2306, 2318, 0.627528, -1.46565, 0.820989, -0.405438, 0.264247, 0.5
5060, 2339, 2356, 1.90976, -0.643594, -0.53591, -0.674911, -0.436901, 0.5
5074, 2339, 2349, 0.13987, 0.245412, 0.936942, -0.986129, -0.0201302, 0.5
5118, 2359, 2398, 0.69803, -1.39362, 0.842401, -0.848093, 0.648852, 0.5
5282, 2452, 2472, 1.34973, 0.0242747, -0.933646, 0.299524, -0.815799, 0.5
5469, 2603, 2636, 1.20683, 0.250064, 0.15669, -0.27873, -1.60371, 0.5
5622, 2692, 2699, -0.32446, -0.366603, 1.1951, 0.0568789, -0.130385, 0.5
5669, 2696, 2709, 0.23937, 0.241754, -2.07936, 0.505762, 1.14382, 0.5
5848, 2783, 2803, -1.55886, 1.00733, 0.79933, -0.266458, 0.292929, 0.5
6061, 2890, 2912, -0.462999, 0.0503369, 1.16628, -0.351355, -0.280795, 0.5
6164, 2931, 2954, 0.603652, -0.758001, 0.625631, -1.58844, 1.21415, 0.5
6187, 2935, 2972, 0.023057, 0.104987, 1.02686, -1.4224, 0.429704, 0.5
6364, 3031, 3049, -1.22588, 0.497869, 0.146624, -1.58768, 1.8995, 0.5
6462, 3072, 3094, -0.968902, 0.147202, 0.927859, 0.0737132, 0.255835, 0.5
6602, 3140, 3192, -0.00729242, 0.169093, 0.620465, -0.778183, 0.120966, 0.5
6637, 3161, 3185, -0.2248, 0.732197, -0.190385, -0.0673226, -0.235459, 0.5
6652, 3168, 3191, 0.123911, -0.607993, 0.57343, 1.15798, -1.09049, 0.5
6849, 3284, 3321, 0.355367, -0.844799, -1.13621, -0.0961271, 1.37285, 0.5
6974, 3339, 3353, 0.60988, -1.00313, -0.967837, 1.03879, 0.158473, 0.5
7113, 3397, 3431, 1.19116, 0.292612, -0.964102, -0.0558804, -0.343093, 0.5
7116, 3397, 3419, 0.743311, -0.976487, -0.314266, 0.724757, -0.218761, 0.5
7132, 3397, 3434, -0.807005, 1.2809, 1.15874, -0.384705, -1.36939, 0.5
7251, 3464, 3480, -0.829261, -0.648145, 0.373511, -1.17531, 2.75352, 0.5
7302, 3493, 3509, 2.10935, 0.257971, -1.71349, 0.244821, -0.69074, 0.5
7434, 3538, 3551, -0.359369, 0.8115, -0.909142, 0.536431, -0.205093, 0.5
7620, 3622, 3646, 1.07022, -0.86106, 0.227684, 0.213256, -0.403991, 0.5
8035, 3840, 3903, -0.629124, -0.989368, -0.138831, 1.04663, 0.784622, 0.5
8195, 3877, 3900, 0.286288, -0.559481, 0.105521, 1.14694, -1.00402, 0.5
8275, 3902, 3950, 0.130483, 0.430432, -1.63518, 0.116443, 0.875887, 0.5
